30/04/2024,description1,Work,1,Complete
01/05/2024,description2,Hobby,2,In Progress
10/04/2024,description3,Home,3,No Status
02/02/2024,description4,Other,1,Complete
01/12/2024,description5,Work,2,In Progress
15/06/2024,description6,Hobby,3,No Status
20/07/2024,description7,Home,1,Complete
05/09/2024,description8,Other,2,In Progress
12/11/2024,description9,Work,3,No Status
03/08/2024,description10,Hobby,1,Complete
22/10/2024,description11,Home,2,In Progress
08/03/2024,description12,Other,3,No Status
14/01/2024,description13,Work,1,Complete
19/05/2024,description14,Hobby,2,In Progress
25/09/2024,description15,Home,3,No Status
06/11/2024,description16,Other,1,Complete
09/02/2024,description17,Work,2,In Progress
28/12/2024,description18,Hobby,3,No Status
17/07/2024,description19,Home,1,Complete
13/04/2024,description20,Other,2,In Progress